,Made Donation in March 2007
659,0.6536849591732026
276,0.2668586701154709
263,0.34467502260208127
303,0.2972422914505005
83,0.7116849591732025
500,0.7066849591732025
530,0.4063374581336975
244,0.11812858498096467
249,0.11560353803634643
728,0.31879136914014816
129,0.1951604014635086
534,0.2831063075065613
317,0.5425926542282105
401,0.34467502260208127
696,0.5703364779949188
192,0.21044132161140444
176,0.2962422914505005
571,0.42723886108398434
139,0.2307252269983292
423,0.3522061618566513
563,0.6006849591732025
56,0.6609592816829681
528,0.5906849591732025
101,0.34467502260208127
467,0.23575728154182435
382,0.5929592816829682
466,0.5059466297626496
294,0.11812858498096467
512,0.5750514607429504
659,0.6536849591732026
389,0.5529592816829682
487,0.13042930591106416
701,0.3786750226020813
419,0.42459265422821046
536,0.180719780087471
240,0.2922422914505005
508,0.19971978008747102
515,0.11812858498096467
283,0.7106849591732025
650,0.34467502260208127
65,0.5329466297626495
228,0.2718586701154709
741,0.20403631764650343
297,0.5819592816829682
464,0.141048071205616
63,0.3786750226020813
231,0.6140124371051787
28,0.12972139465808868
248,0.11812858498096467
357,0.29885867011547085
300,0.6066849591732025
726,0.6046849591732025
680,0.22601219236850742
520,0.5619592816829682
254,0.08845007771253585
582,0.3332892167568207
143,0.30098778438568113
98,0.6426849591732025
1,0.2772061618566513
221,0.6456849591732026
352,0.34467502260208127
64,0.2604536573290825
138,0.24185867011547088
745,0.5559592816829682
64,0.2604536573290825
688,0.19535610735416414
623,0.19622347015142438
289,0.2658586701154709
174,0.4862388610839844
690,0.34467502260208127
105,0.30228921675682074
427,0.1760121923685074
48,0.16512858498096467
14,0.34467502260208127
657,0.10296666771173477
301,0.2821063075065613
455,0.20916040146350862
579,0.45159265422821043
722,0.22601219236850742
98,0.6426849591732025
491,0.16512858498096467
303,0.2972422914505005
466,0.5059466297626496
65,0.5329466297626495
300,0.6066849591732025
9,0.16312858498096466
622,0.21044132161140444
323,0.19835610735416415
289,0.2658586701154709
568,0.40050120973587044
290,0.34467502260208127
156,0.220719780087471
464,0.141048071205616
426,0.1534445503950119
306,0.2348586701154709
4,0.2902422914505005
12,0.7276849591732025
187,0.3222422914505005
406,0.2297252269983292
96,0.4063374581336975
509,0.3786750226020813
733,0.2851063075065613
548,0.1651604014635086
478,0.5454095432758331
501,0.19540415179729462
127,0.6310124371051788
199,0.2978586701154709
299,0.6356849591732026
162,0.34467502260208127
235,0.1561604014635086
23,0.28840695583820347
473,0.34467502260208127
487,0.13042930591106416
683,0.6766849591732025
303,0.2972422914505005
309,0.08672139465808867
569,0.16512858498096467
34,0.6916849591732025
686,0.5926849591732025
84,0.20843126845359802
733,0.2851063075065613
537,0.7286849591732025
181,0.2719108827114105
453,0.6166849591732025
67,0.5649592816829682
161,0.5749592816829682
307,0.43259265422821047
703,0.24726434099674227
181,0.2719108827114105
246,0.1484445503950119
316,0.7226849591732025
278,0.21044132161140444
346,0.2495345619916916
545,0.34467502260208127
419,0.42459265422821046
694,0.4063374581336975
622,0.21044132161140444
663,0.16401647824048998
262,0.7256849591732025
461,0.3795926542282104
373,0.7286849591732025
233,0.34467502260208127
466,0.5059466297626496
207,0.30098778438568113
263,0.34467502260208127
16,0.16512858498096467
513,0.1951604014635086
449,0.5809592816829682
429,0.13064894592761994
701,0.3786750226020813
632,0.15245007771253588
529,0.7296849591732025
245,0.2972422914505005
344,0.2768586701154709
353,0.1591604014635086
241,0.42809408164024354
633,0.12312858498096466
624,0.3786750226020813
726,0.6046849591732025
189,0.21044132161140444
138,0.24185867011547088
402,0.11812858498096467
511,0.6526849591732025
590,0.31373580288887026
334,0.18475728154182433
447,0.15764894592761994
119,0.5059466297626496
389,0.5529592816829682
644,0.34467502260208127
423,0.3522061618566513
131,0.16512858498096467
405,0.16512858498096467
82,0.34467502260208127
643,0.7236849591732025
156,0.220719780087471
617,0.138048071205616
574,0.5900514607429505
272,0.38659265422821043
613,0.1464536573290825
545,0.34467502260208127
685,0.11812858498096467
570,0.3192422914505005
537,0.7286849591732025
691,0.12312858498096466
85,0.7226849591732025
483,0.1484445503950119
455,0.20916040146350862
93,0.21044132161140444
744,0.3786750226020813
33,0.1484445503950119
321,0.7156849591732025
523,0.3868817555904388
426,0.1534445503950119
196,0.11845007771253586
301,0.2821063075065613
103,0.12312858498096466
224,0.1918860182762146
454,0.2758586701154709
585,0.1888860182762146
154,0.6589592816829681
