,Made Donation in March 2007
659,0.4222097098827362
276,0.18867604434490204
263,0.17435906827449799
303,0.20383957028388977
83,0.5533683896064758
500,0.5533683896064758
530,0.20186984539031982
244,0.10121491551399231
249,0.06700046360492706
728,0.20354388654232025
129,0.1188461184501648
534,0.1482141613960266
317,0.4152182638645172
401,0.17435906827449799
696,0.40039971470832825
192,0.11030494421720505
176,0.20383957028388977
571,0.23290987312793732
139,0.15982232987880707
423,0.22886264324188232
563,0.4400781989097595
56,0.5215463042259216
528,0.4400781989097595
101,0.17435906827449799
467,0.1088441014289856
382,0.5033436417579651
466,0.31311169266700745
294,0.10121491551399231
512,0.4181246757507324
659,0.4222097098827362
389,0.39132168889045715
487,0.11759963631629944
701,0.2756772041320801
419,0.19995002448558807
536,0.1088441014289856
240,0.20383957028388977
508,0.1088441014289856
515,0.10121491551399231
283,0.5533683896064758
650,0.17435906827449799
65,0.4181246757507324
228,0.18867604434490204
741,0.12803736329078674
297,0.4088078439235687
464,0.1060771718621254
63,0.2756772041320801
231,0.4314963221549988
28,0.07675594836473465
248,0.10121491551399231
357,0.18867604434490204
300,0.4222097098827362
726,0.4222097098827362
680,0.12469790875911713
520,0.4088078439235687
254,0.07675594836473465
582,0.1989503800868988
143,0.16373443603515625
98,0.4400781989097595
1,0.12192820757627487
221,0.4222097098827362
352,0.17435906827449799
64,0.1537976711988449
138,0.1777743697166443
745,0.2629295587539673
64,0.1537976711988449
688,0.1060771718621254
623,0.09010978043079376
289,0.1777743697166443
174,0.35367703437805176
690,0.17435906827449799
105,0.1838439255952835
427,0.12469790875911713
48,0.10121491551399231
14,0.17435906827449799
657,0.07548059523105621
301,0.23873291909694672
455,0.1188461184501648
579,0.3105457127094269
722,0.12469790875911713
98,0.4400781989097595
491,0.10121491551399231
303,0.20383957028388977
466,0.31311169266700745
65,0.4181246757507324
300,0.4222097098827362
9,0.10121491551399231
622,0.11030494421720505
323,0.1060771718621254
289,0.1777743697166443
568,0.190313920378685
290,0.17435906827449799
156,0.10197532176971436
464,0.1060771718621254
426,0.1188461184501648
306,0.18867604434490204
4,0.20383957028388977
12,0.5533683896064758
187,0.19226938486099243
406,0.15982232987880707
96,0.20186984539031982
509,0.2756772041320801
733,0.23873291909694672
548,0.1188461184501648
478,0.43147605657577515
501,0.12929189205169678
127,0.4314963221549988
199,0.1777743697166443
299,0.4400781989097595
162,0.17435906827449799
235,0.1188461184501648
23,0.14973010122776031
473,0.17435906827449799
487,0.11759963631629944
683,0.5533683896064758
303,0.20383957028388977
309,0.07675594836473465
569,0.10121491551399231
34,0.5533683896064758
686,0.4400781989097595
84,0.11618911474943161
733,0.23873291909694672
537,0.5533683896064758
181,0.14063295722007751
453,0.4222097098827362
67,0.39132168889045715
161,0.39132168889045715
307,0.32635772228240967
703,0.12929189205169678
181,0.14063295722007751
246,0.1188461184501648
316,0.5533683896064758
278,0.11030494421720505
346,0.12929189205169678
545,0.17435906827449799
419,0.19995002448558807
694,0.20186984539031982
622,0.11030494421720505
663,0.07326817512512207
262,0.5533683896064758
461,0.17406007647514343
373,0.5352976322174072
233,0.17435906827449799
466,0.31311169266700745
207,0.16373443603515625
263,0.17435906827449799
16,0.10121491551399231
513,0.1188461184501648
449,0.4088078439235687
429,0.06700046360492706
701,0.2756772041320801
632,0.07675594836473465
529,0.5533683896064758
245,0.20383957028388977
344,0.18867604434490204
353,0.1188461184501648
241,0.3372039496898651
633,0.10121491551399231
624,0.2756772041320801
726,0.4222097098827362
189,0.11030494421720505
138,0.1777743697166443
402,0.10121491551399231
511,0.5533683896064758
590,0.20383957028388977
334,0.10197532176971436
447,0.08391331136226654
119,0.31311169266700745
389,0.39132168889045715
644,0.17435906827449799
423,0.22886264324188232
131,0.10121491551399231
405,0.10121491551399231
82,0.17435906827449799
643,0.5352976322174072
156,0.10197532176971436
617,0.1060771718621254
574,0.4181246757507324
272,0.19995002448558807
613,0.07326817512512207
545,0.17435906827449799
685,0.10121491551399231
570,0.20383957028388977
537,0.5533683896064758
691,0.10121491551399231
85,0.5352976322174072
483,0.1188461184501648
455,0.1188461184501648
93,0.11030494421720505
744,0.2756772041320801
33,0.1188461184501648
321,0.5352976322174072
523,0.3069671392440796
426,0.1188461184501648
196,0.07675594836473465
301,0.23873291909694672
103,0.10121491551399231
224,0.1188461184501648
454,0.18867604434490204
585,0.1188461184501648
154,0.5033436417579651
