,Made Donation in March 2007
659,0.3561881184577942
276,0.21991844475269318
263,0.24396029114723206
303,0.26133742928504944
83,0.45174166560173035
500,0.5395374894142151
530,0.26905184984207153
244,0.09942836314439774
249,0.07180456817150116
728,0.08636020869016647
129,0.11185380071401596
534,0.17852440476417542
317,0.3360418379306793
401,0.24396029114723206
696,0.3102280795574188
192,0.12169454991817474
176,0.24525786936283112
571,0.31059911847114563
139,0.15565913915634155
423,0.3102280795574188
563,0.45174166560173035
56,0.43077918887138367
528,0.45174166560173035
101,0.24396029114723206
467,0.26905184984207153
382,0.3501497209072113
466,0.26905184984207153
294,0.09942836314439774
512,0.26905184984207153
659,0.3561881184577942
389,0.3501497209072113
487,0.14760757982730865
701,0.24396029114723206
419,0.3360418379306793
536,0.26905184984207153
240,0.26133742928504944
508,0.26905184984207153
515,0.09942836314439774
283,0.43077918887138367
650,0.24396029114723206
65,0.26905184984207153
228,0.20567773282527924
741,0.13722561299800873
297,0.4169742465019226
464,0.11185380071401596
63,0.24396029114723206
231,0.3102280795574188
28,0.11185380071401596
248,0.09942836314439774
357,0.19659507274627686
300,0.3501497209072113
726,0.41851627826690674
680,0.13336144387722015
520,0.43077918887138367
254,0.11185380071401596
582,0.191957488656044
143,0.3360418379306793
98,0.4169742465019226
1,0.3102280795574188
221,0.3501497209072113
352,0.24396029114723206
64,0.1364808976650238
138,0.15565913915634155
745,0.3501497209072113
64,0.1364808976650238
688,0.11185380071401596
623,0.11763953417539597
289,0.15565913915634155
174,0.29735562205314636
690,0.24396029114723206
105,0.23494434356689453
427,0.13336144387722015
48,0.09942836314439774
14,0.24396029114723206
657,0.09364897757768631
301,0.17852440476417542
455,0.11185380071401596
579,0.3360418379306793
722,0.13336144387722015
98,0.4169742465019226
491,0.09942836314439774
303,0.26133742928504944
466,0.26905184984207153
65,0.26905184984207153
300,0.3501497209072113
9,0.09942836314439774
622,0.12169454991817474
323,0.11185380071401596
289,0.15565913915634155
568,0.3102280795574188
290,0.24396029114723206
156,0.19817334413528442
464,0.11185380071401596
426,0.11185380071401596
306,0.21991844475269318
4,0.26133742928504944
12,0.4169742465019226
187,0.17852440476417542
406,0.14760757982730865
96,0.26905184984207153
509,0.24396029114723206
733,0.16639238595962524
548,0.11185380071401596
478,0.2686479091644287
501,0.1364808976650238
127,0.3102280795574188
199,0.15565913915634155
299,0.45174166560173035
162,0.24396029114723206
235,0.11185380071401596
23,0.15084196627140045
473,0.24396029114723206
487,0.14760757982730865
683,0.45174166560173035
303,0.26133742928504944
309,0.11185380071401596
569,0.09942836314439774
34,0.45174166560173035
686,0.4672882854938507
84,0.26905184984207153
733,0.16639238595962524
537,0.45174166560173035
181,0.16186098754405975
453,0.41851627826690674
67,0.3561881184577942
161,0.3501497209072113
307,0.43077918887138367
703,0.1364808976650238
181,0.16186098754405975
246,0.11185380071401596
316,0.4169742465019226
278,0.12169454991817474
346,0.1364808976650238
545,0.24396029114723206
419,0.3360418379306793
694,0.26905184984207153
622,0.12169454991817474
663,0.08849254995584488
262,0.4672882854938507
461,0.3360418379306793
373,0.41851627826690674
233,0.24396029114723206
466,0.26905184984207153
207,0.3360418379306793
263,0.24396029114723206
16,0.09942836314439774
513,0.11185380071401596
449,0.4169742465019226
429,0.07180456817150116
701,0.24396029114723206
632,0.11185380071401596
529,0.45174166560173035
245,0.26133742928504944
344,0.20567773282527924
353,0.11185380071401596
241,0.21675662696361542
633,0.09942836314439774
624,0.24396029114723206
726,0.41851627826690674
189,0.12169454991817474
138,0.15565913915634155
402,0.09942836314439774
511,0.43077918887138367
590,0.28450798988342285
334,0.19817334413528442
447,0.11185380071401596
119,0.26905184984207153
389,0.3501497209072113
644,0.24396029114723206
423,0.3102280795574188
131,0.09942836314439774
405,0.09942836314439774
82,0.24396029114723206
643,0.41851627826690674
156,0.19817334413528442
617,0.11185380071401596
574,0.26905184984207153
272,0.3360418379306793
613,0.09594238549470901
545,0.24396029114723206
685,0.09942836314439774
570,0.23494434356689453
537,0.45174166560173035
691,0.09942836314439774
85,0.3501497209072113
483,0.11185380071401596
455,0.11185380071401596
93,0.12169454991817474
744,0.24396029114723206
33,0.11185380071401596
321,0.41851627826690674
523,0.26905184984207153
426,0.11185380071401596
196,0.11185380071401596
301,0.17852440476417542
103,0.09942836314439774
224,0.11185380071401596
454,0.21991844475269318
585,0.11185380071401596
154,0.3360418379306793
